,       MaxEStateIndex,       MinEStateIndex,    MaxAbsEStateIndex,    MinAbsEStateIndex,                  qed,                MolWt,       HeavyAtomMolWt,           ExactMolWt,  NumValenceElectrons,  NumRadicalElectrons,     MaxPartialCharge,     MinPartialCharge,  MaxAbsPartialCharge,  MinAbsPartialCharge,     FpDensityMorgan1,     FpDensityMorgan2,     FpDensityMorgan3,             BalabanJ,              BertzCT,                 Chi0,                Chi0n,                Chi0v,                 Chi1,                Chi1n,                Chi1v,                Chi2n,                Chi2v,                Chi3n,                Chi3v,                Chi4n,                Chi4v,        HallKierAlpha,                  Ipc,               Kappa1,               Kappa2,               Kappa3,            LabuteASA,            PEOE_VSA1,           PEOE_VSA10,           PEOE_VSA11,           PEOE_VSA12,           PEOE_VSA13,           PEOE_VSA14,            PEOE_VSA2,            PEOE_VSA3,            PEOE_VSA4,            PEOE_VSA5,            PEOE_VSA6,            PEOE_VSA7,            PEOE_VSA8,            PEOE_VSA9,             SMR_VSA1,            SMR_VSA10,             SMR_VSA2,             SMR_VSA3,             SMR_VSA4,             SMR_VSA5,             SMR_VSA6,             SMR_VSA7,             SMR_VSA8,             SMR_VSA9,           SlogP_VSA1,          SlogP_VSA10,          SlogP_VSA11,          SlogP_VSA12,           SlogP_VSA2,           SlogP_VSA3,           SlogP_VSA4,           SlogP_VSA5,           SlogP_VSA6,           SlogP_VSA7,           SlogP_VSA8,           SlogP_VSA9,          EState_VSA1,         EState_VSA10,         EState_VSA11,          EState_VSA2,          EState_VSA3,          EState_VSA4,          EState_VSA5,          EState_VSA6,          EState_VSA7,          EState_VSA8,          EState_VSA9,          VSA_EState1,         VSA_EState10,          VSA_EState2,          VSA_EState3,          VSA_EState4,          VSA_EState5,          VSA_EState6,          VSA_EState7,          VSA_EState8,          VSA_EState9,         FractionCSP3,       HeavyAtomCount,            NHOHCount,              NOCount,  NumAliphaticCarbocycles,  NumAliphaticHeterocycles,    NumAliphaticRings,  NumAromaticCarbocycles,  NumAromaticHeterocycles,     NumAromaticRings,        NumHAcceptors,           NumHDonors,       NumHeteroatoms,    NumRotatableBonds,  NumSaturatedCarbocycles,  NumSaturatedHeterocycles,    NumSaturatedRings,            RingCount,                MolMR,            fr_Al_COO,             fr_Al_OH,      fr_Al_OH_noTert,               fr_ArN,            fr_Ar_COO,              fr_Ar_N,             fr_Ar_NH,             fr_Ar_OH,               fr_COO,              fr_COO2,               fr_C_O,         fr_C_O_noCOO,               fr_C_S,             fr_HOCCN,             fr_Imine,               fr_NH0,               fr_NH1,               fr_NH2,               fr_N_O,    fr_Ndealkylation1,    fr_Ndealkylation2,         fr_Nhpyrrole,                fr_SH,          fr_aldehyde,   fr_alkyl_carbamate,      fr_alkyl_halide,      fr_allylic_oxid,             fr_amide,           fr_amidine,           fr_aniline,       fr_aryl_methyl,             fr_azide,               fr_azo,          fr_barbitur,           fr_benzene,    fr_benzodiazepine,          fr_bicyclic,             fr_diazo,   fr_dihydropyridine,           fr_epoxide,             fr_ester,             fr_ether,             fr_furan,           fr_guanido,           fr_halogen,           fr_hdrzine,           fr_hdrzone,         fr_imidazole,             fr_imide,           fr_isocyan,       fr_isothiocyan,            fr_ketone,    fr_ketone_Topliss,            fr_lactam,           fr_lactone,           fr_methoxy,        fr_morpholine,           fr_nitrile,             fr_nitro,        fr_nitro_arom,  fr_nitro_arom_nonortho,           fr_nitroso,           fr_oxazole,             fr_oxime,  fr_para_hydroxylation,            fr_phenol,  fr_phenol_noOrthoHbond,         fr_phos_acid,        fr_phos_ester,         fr_piperdine,         fr_piperzine,          fr_priamide,      fr_prisulfonamd,          fr_pyridine,             fr_quatN,           fr_sulfide,         fr_sulfonamd,           fr_sulfone,    fr_term_acetylene,         fr_tetrazole,          fr_thiazole,          fr_thiocyan,         fr_thiophene,     fr_unbrch_alkane,              fr_urea, 
    MaxPartialCharge, -0.11765,  0.64933,  0.10002, -0.01418, -0.04199, -0.03445,  0.37114,  0.16866,  0.05331, -0.17224,  1.00000, -0.00099,  0.03395, -0.05676,  0.41073, -0.08280,  0.16905, -0.01285, -0.02938,  0.07971, -0.08901,  0.10180, -0.05770,  0.00376,  0.21632,  0.54666,  0.25179, -0.04256,  0.09067,  0.61519,  0.40684, -0.05019,  0.27530, -0.00940,  0.37320, -0.00666,  0.01515,  0.10894,  0.04168,  0.69135, -0.03577, -0.13419,  0.08600, -0.03228, -0.04114,  0.06613,  0.27876, -0.00993,  0.48968,  0.22160,  0.07222, -0.09253,  0.00664, -0.02059,  0.21149,  0.04662,  0.25269,  0.00475,  0.05282,  0.07517,  0.26955,  0.07543,  0.10029,  0.10212, -0.04145,  0.17901,  0.64264, -0.00098, -0.18169,  0.02266,  0.00617,  0.11434,  0.02754,  0.07597,  0.00985,  0.18431,  0.47096, -0.08961,  0.24071, -0.02204, -0.01230, -0.00098,  0.00327, -0.01271,  0.26075, -0.06994, -0.00115,  0.21530,  0.06763, -0.00735, -0.04984, -0.00098,  0.02595,  0.12757,  0.59629, -0.04747,  0.09355,  0.23153,  0.04790, -0.00125,  0.04614,  0.00494,  0.31305,  0.66264,  0.06774, -0.02846, -0.09005,  0.68519, -0.05070, -0.10212,  0.32116, -0.00714,  0.02899, -0.09925,  0.31946,  0.01089, -0.15113,  0.03168,  0.24748, -0.05357,  0.00997,  0.65442,  0.33533,  0.23004, -0.06587, -0.08025,  0.07670,  0.67500, -0.06704, -0.12396,  0.88173, -0.11178, -0.00321, -0.04549, -0.06009,  0.01475,  0.07404,  0.20670,  0.09928,  0.24005,  0.15842,  0.17774, -0.00224,  0.06228,  0.09117, -0.12685,  0.07197,  0.04678,  0.20173,  0.22065, -0.09970,  0.55784,  0.27831,  0.22494, -0.05634,  0.27372,  0.05599, -0.11894, -0.06848,  0.11453, -0.13305, -0.13789, -0.14755,  0.03415, -0.07331,  0.15981, -0.02168,  0.50845,  0.95867,  0.03653,  0.08585, -0.00098,  0.15112,  0.36118,  0.09611, -0.00103,  0.28616,  0.27478, -0.16587,  0.06841,  0.14658, -0.06465,  0.38466,  0.11231,  0.06787,  0.05265,  0.00866,  0.02959,  0.16840,  0.19670, -0.00131,  0.00070,  0.02347,  0.00211,  0.05079, -0.00244,  0.07492,  0.05637, 
    MinPartialCharge,  0.12015, -0.00085, -0.02801, -0.00353, -0.01430, -0.01566,  0.01296, -0.00573, -0.01305,  0.19042, -0.00099,  1.00000, -0.01537,  0.67149, -0.01385,  0.24344, -0.00088, -0.00315,  0.75332, -0.00779, -0.00551, -0.01512, -0.01064,  0.00189,  0.00016,  0.16132,  0.03367,  0.94409, -0.01034, -0.01491, -0.00360, -0.01283,  0.80764, -0.01240, -0.01384, -0.01437, -0.01077, -0.00858, -0.01859, -0.00338,  0.00446,  0.31725,  0.00454,  0.78345,  0.94090, -0.01858, -0.00268,  0.98174, -0.01151, -0.01218, -0.00790,  0.20571, -0.01803, -0.00149, -0.01086,  0.01382, -0.01022, -0.00807, -0.01270, -0.01773,  0.02330, -0.01842,  0.87378, -0.00530,  0.01921, -0.01134, -0.00959,  1.00000,  0.02425, -0.00302, -0.00085, -0.00048,  0.99887,  0.85282, -0.01112, -0.00856,  0.75423,  0.01200, -0.00887,  0.93861, -0.01404,  1.00000, -0.01201,  0.16101, -0.02099,  0.92247,  1.00000, -0.01799,  0.00148,  0.99810,  0.01571,  1.00000, -0.01985,  0.87893, -0.01164, -0.00514, -0.01356,  0.02152, -0.01124,  1.00000,  0.23249,  0.15695, -0.00226, -0.00660, -0.02078,  0.96597,  0.37645, -0.00684,  0.15948,  0.00580,  0.00892,  0.99784,  0.00850,  0.08069, -0.01189,  0.02982,  0.06974,  0.02108,  0.01250,  0.00650, -0.01440,  0.00884,  0.00155,  0.00836, -0.00820, -0.00171, -0.01469, -0.00144,  0.01376,  0.15228, -0.01297, -0.00203, -0.01549,  0.60777,  0.03010,  0.98443,  0.88875,  0.00548, -0.00950, -0.01764, -0.01492, -0.01812,  0.99991, -0.00200, -0.00174,  0.29340, -0.01384, -0.02047, -0.01205, -0.00561,  0.10424, -0.00401, -0.00724, -0.01087,  0.00097, -0.00723, -0.00506, -0.01239,  0.58094, -0.00778,  0.04096,  0.18596,  0.06979, -0.00636,  0.21653,  0.49107,  0.99296, -0.01953, -0.00800, -0.00707, -0.01118,  1.00000, -0.01023, -0.00175, -0.00759,  1.00000, -0.01571, -0.00674,  0.20049, -0.00920, -0.02591,  0.14380, -0.02039, -0.01762, -0.01676, -0.00851,  0.14360,  0.03271,  0.02730,  0.49561,  0.99992,  0.73122,  0.58097,  0.39669,  0.00140,  0.99940, -0.01852, -0.00769, 
 MaxAbsPartialCharge,  0.46733, -0.01274,  0.02380,  0.43983,  0.07242,  0.06147,  0.09648, -0.04010, -0.01075, -0.05686,  0.03395, -0.01537,  1.00000, -0.03157,  0.35899,  0.55170,  0.45338,  0.21809,  0.22936,  0.55679, -0.08067,  0.36895,  0.45055,  0.06018, -0.02556, -0.02921,  0.40017,  0.01967,  0.48588,  0.26093,  0.38071,  0.18013, -0.01101,  0.47948, -0.03609,  0.39760,  0.23504,  0.20281,  0.10351,  0.06021,  0.31421,  0.04453,  0.10319,  0.00489, -0.00064, -0.01622,  0.06558, -0.04567, -0.00075, -0.03059,  0.34329,  0.46079, -0.03568,  0.52406,  0.52011,  0.07502,  0.04364,  0.47432,  0.08558, -0.03582,  0.17540, -0.02142, -0.03973,  0.46816,  0.53046, -0.06679,  0.07610, -0.01537,  0.09880,  0.08386,  0.19413,  0.35585, -0.00899,  0.06845,  0.49289,  0.01067, -0.04341,  0.24357,  0.07092, -0.06296,  0.09050, -0.01537,  0.05456, -0.02925,  0.11745,  0.17562, -0.01502,  0.09408,  0.28819,  0.01501,  0.11076, -0.01537, -0.01522, -0.03457, -0.03636,  0.49641,  0.42069,  0.36707,  0.33844, -0.01544, -0.07098, -0.03880,  0.08369,  0.03337,  0.11417,  0.12727,  0.01683, -0.06092,  0.03291,  0.15155,  0.16383, -0.01381,  0.24768,  0.01823, -0.06532,  0.06647,  0.22225,  0.36867,  0.17591,  0.07475,  0.20271,  0.08640,  0.12242,  0.19555,  0.21812,  0.60986,  0.08855, -0.02671,  0.54004,  0.18251, -0.03488,  0.30505,  0.14397, -0.05224,  0.56089,  0.03520,  0.12588,  0.24548,  0.47922, -0.07561, -0.03171,  0.10426, -0.01137,  0.18219,  0.20110,  0.09752,  0.09894,  0.16489,  0.10408,  0.03203, -0.06244, -0.01193,  0.00178,  0.06713,  0.54262,  0.03753,  0.03000,  0.03391,  0.29298,  0.41395,  0.36002,  0.27797,  0.29210,  0.00198,  0.29597,  0.41852, -0.01022, -0.03160,  0.00251,  0.52727, -0.00048, -0.01537,  0.00573,  0.12920,  0.10115, -0.01538,  0.13150, -0.01388, -0.06617,  0.54060, -0.00504,  0.51558, -0.04661, -0.05120, -0.04651, -0.05608, -0.07418, -0.06163, -0.06140, -0.08396, -0.01679, -0.06562, -0.07034, -0.07473, -0.05537, -0.01803,  0.07857,  0.06567, 
 MinAbsPartialCharge,  0.14046, -0.06485, -0.03540,  0.00876, -0.00981, -0.01918, -0.05522,  0.33656, -0.02979,  0.22004, -0.05676,  0.67149, -0.03157,  1.00000, -0.05959,  0.19452, -0.06621,  0.42060,  0.54035, -0.01914,  0.11838,  0.39728, -0.00627,  0.46867, -0.04152,  0.14860,  0.05222,  0.65251, -0.03259,  0.16933, -0.07974,  0.31852,  0.77042,  0.00113, -0.02060, -0.02045,  0.40998,  0.46622, -0.00438, -0.03930, -0.02959,  0.32552, -0.01839,  0.55946,  0.66620,  0.53400, -0.06016,  0.66630, -0.06527, -0.05541, -0.04071,  0.20937,  0.02745, -0.04470, -0.01592,  0.06128, -0.09194,  0.00766,  0.06766,  0.56595, -0.09222,  0.57301,  0.63362, -0.06118,  0.04245, -0.00152, -0.04865,  0.67149,  0.13579,  0.02524, -0.03325, -0.06543,  0.67207,  0.59602, -0.00134, -0.02736,  0.51408, -0.00146,  0.30017,  0.64379,  0.02123,  0.67149,  0.05337,  0.19509, -0.04362,  0.65328,  0.67153, -0.04751,  0.01066,  0.67176,  0.07833,  0.67149,  0.13233,  0.61905, -0.03325, -0.01670, -0.03326,  0.02758,  0.44309,  0.67164,  0.63509,  0.65954, -0.03732, -0.00760, -0.01820,  0.65968,  0.32469,  0.00640,  0.13209,  0.08715, -0.06496,  0.67417, -0.05703,  0.19993,  0.44521,  0.11774,  0.07997,  0.05048, -0.10055,  0.04178,  0.03471, -0.11318, -0.06598, -0.08584,  0.06961,  0.01888,  0.01232, -0.00060,  0.00579,  0.12893,  0.00223,  0.05087,  0.04966,  0.42686,  0.05507,  0.66770,  0.62433, -0.06264, -0.03888,  0.39194, -0.02977, -0.01849,  0.67214, -0.00650, -0.05054,  0.23349,  0.04005, -0.06121, -0.01189, -0.08061,  0.13438, -0.03416, -0.08787,  0.31153, -0.02451, -0.09529,  0.32504,  0.08401,  0.63130, -0.05768,  0.05308,  0.15548,  0.07480, -0.00084,  0.58668,  0.47937,  0.67888,  0.01733, -0.03077, -0.01808,  0.53994,  0.67149,  0.00196, -0.04763, -0.00769,  0.67151, -0.07262,  0.56207,  0.21786, -0.00873, -0.00141,  0.13714,  0.43355,  0.51010,  0.51951,  0.61499,  0.59351,  0.62193,  0.58843,  0.65351,  0.67796,  0.87000,  0.73563,  0.82529,  0.56971,  0.68789,  0.50693,  0.53798, 
    FpDensityMorgan1,  0.24095,  0.28777,  0.05599,  0.60464, -0.00587, -0.01063,  0.25916,  0.16268, -0.00633, -0.09938,  0.41073, -0.01385,  0.35899, -0.05959,  1.00000,  0.56081,  0.84893,  0.33111,  0.37165,  0.74502, -0.04241,  0.60461,  0.53052, -0.04739,  0.11477,  0.28431,  0.75596, -0.05116, -0.07228,  0.69131,  0.83164, -0.05751,  0.11636,  0.69189,  0.26327,  0.68862,  0.34552,  0.07032, -0.03571,  0.33580, -0.08749, -0.16292,  0.01497, -0.11432, -0.04923, -0.01824,  0.19280, -0.00470,  0.37731,  0.16708,  0.53422,  0.42642,  0.06480,  0.31156,  0.85458,  0.01276,  0.05805,  0.59874,  0.02612, -0.00128,  0.21679,  0.00554,  0.02688,  0.75678,  0.70559,  0.09302,  0.29041, -0.01385, -0.09006, -0.00893,  0.02825,  0.56481,  0.00916,  0.15527,  0.63664,  0.11725,  0.19696, -0.09104,  0.08790,  0.00525,  0.02115, -0.01385,  0.06392, -0.06551,  0.13928,  0.20557, -0.01354,  0.19464,  0.04329,  0.02294, -0.14788, -0.01385,  0.03166,  0.09744,  0.49363,  0.38578,  0.82094,  0.61688,  0.43625, -0.01406, -0.03427, -0.04482,  0.14828,  0.24252,  0.00447,  0.14191, -0.10564,  0.28621, -0.08501, -0.09479,  0.29354, -0.01473, -0.01588, -0.06515,  0.10878, -0.02920, -0.13653,  0.59209,  0.24790, -0.05960,  0.01694,  0.47417,  0.21416,  0.17864,  0.02547,  0.32032, -0.05696,  0.25380,  0.56072, -0.10197,  0.37564, -0.11590,  0.02503, -0.11382,  0.67062,  0.06814,  0.18923,  0.07513,  0.73554,  0.11356,  0.21020,  0.08009, -0.00800, -0.01101,  0.06231, -0.16956,  0.08358,  0.00137,  0.08349,  0.06910, -0.02981,  0.20733,  0.08710,  0.07273,  0.49728,  0.07809, -0.01698, -0.12199,  0.41613,  0.72616, -0.15230, -0.12888, -0.15686, -0.02621,  0.38505,  0.66916, -0.03326,  0.36375,  0.37341,  0.64826, -0.03155, -0.01385,  0.17879,  0.32038,  0.07912, -0.01389,  0.13327,  0.10295, -0.10215,  0.73179,  0.15769,  0.68979,  0.13352,  0.01323,  0.00583,  0.00111,  0.03324,  0.06595,  0.08770,  0.08704, -0.01403,  0.01836,  0.00197,  0.04310,  0.01146, -0.01358,  0.01216,  0.18665, 
    FpDensityMorgan2,  0.63324, -0.09066, -0.12147,  0.69845,  0.04259,  0.03036, -0.04050, -0.07652,  0.01695,  0.07598, -0.08280,  0.24344,  0.55170,  0.19452,  0.56081,  1.00000,  0.58686,  0.32803,  0.58051,  0.79737,  0.14225,  0.50771,  0.59289,  0.10050, -0.07104,  0.02774,  0.63576,  0.25036,  0.12376,  0.40527,  0.53776,  0.23186,  0.19739,  0.75969, -0.00043,  0.64314,  0.32978, -0.04359,  0.03168, -0.01458,  0.11632,  0.15139,  0.26841,  0.18452,  0.28188, -0.00456, -0.08940,  0.23294, -0.07301, -0.07366,  0.46563,  0.72752, -0.04174,  0.52333,  0.80196, -0.05349, -0.04689,  0.68079,  0.05796, -0.00940,  0.00982, -0.02197,  0.21507,  0.64004,  0.82615, -0.04730,  0.00451,  0.24344,  0.09217,  0.08527,  0.06871,  0.47314,  0.25674,  0.37964,  0.77504, -0.05322,  0.17274,  0.13742, -0.05690,  0.22318,  0.04071,  0.24344,  0.02150,  0.04202, -0.08794,  0.52525,  0.24398, -0.08892,  0.10619,  0.29191,  0.12792,  0.24344,  0.05905,  0.20794, -0.07645,  0.55330,  0.60336,  0.62357,  0.51210,  0.24347,  0.03159,  0.02342, -0.05149,  0.00896, -0.01465,  0.45184,  0.07347, -0.02718,  0.08128,  0.18330, -0.05514,  0.24110,  0.09176,  0.07663, -0.03344,  0.02005,  0.14222,  0.67214, -0.04363,  0.13286,  0.11726, -0.06489, -0.07624, -0.00495,  0.08311,  0.68546,  0.00071, -0.03183,  0.74136,  0.09908, -0.04156,  0.25408, -0.03896,  0.19669,  0.80009,  0.31732,  0.42920,  0.00971,  0.65583, -0.06719, -0.04415, -0.03262,  0.25173,  0.06403,  0.04677,  0.15974,  0.02964,  0.01518, -0.05209, -0.07906,  0.11334, -0.04272, -0.05532, -0.05714,  0.72002, -0.06181, -0.00768,  0.27542,  0.66863,  0.59668,  0.25501,  0.29548,  0.24603, -0.02407,  0.56906,  0.79365,  0.26237, -0.08211, -0.05797,  0.73957, -0.01946,  0.24344,  0.00414, -0.06484, -0.00606,  0.24344, -0.08405, -0.05762,  0.06264,  0.79546, -0.08332,  0.84871, -0.07506, -0.04794, -0.02885, -0.04846, -0.00383, -0.03460, -0.03753,  0.07752,  0.24295,  0.14779,  0.10853,  0.05195, -0.04331,  0.24243, -0.03538,  0.12459, 
    FpDensityMorgan3,  0.27407,  0.10429, -0.01192,  0.57543,  0.09484,  0.09841,  0.37717,  0.20218,  0.03729, -0.08671,  0.16905, -0.00088,  0.45338, -0.06621,  0.84893,  0.58686,  1.00000,  0.44090,  0.36785,  0.76650, -0.00323,  0.64008,  0.67824, -0.06556,  0.07841,  0.02570,  0.63026, -0.06918,  0.04985,  0.46444,  0.80437,  0.01728,  0.00727,  0.69772,  0.10662,  0.71314,  0.46751,  0.14474, -0.15311,  0.19633,  0.16438, -0.26162,  0.19227, -0.11102, -0.05472,  0.00926,  0.20654, -0.02044,  0.34292,  0.22930,  0.58917,  0.42010,  0.01299,  0.53406,  0.76115, -0.04547,  0.13888,  0.65200,  0.21698, -0.00052,  0.44842,  0.01506, -0.08857,  0.80669,  0.71249,  0.15414,  0.11433, -0.00088, -0.10944,  0.10188,  0.26576,  0.64653,  0.00799,  0.11999,  0.69162,  0.23613, -0.00466,  0.13741,  0.13639, -0.03195,  0.03998, -0.00088,  0.02728, -0.05790,  0.08974,  0.21844, -0.00065,  0.16980,  0.23784,  0.03227, -0.08994, -0.00088, -0.01000,  0.04877,  0.32773,  0.59729,  0.88223,  0.52522,  0.44480, -0.00132, -0.02857, -0.08556,  0.20559, -0.00388, -0.02547,  0.15394, -0.18500,  0.00552, -0.09880,  0.07664,  0.41516, -0.00914,  0.24135, -0.13045,  0.00337, -0.03277,  0.01824,  0.55561,  0.47744, -0.09724,  0.05002,  0.48807,  0.26340,  0.42522,  0.03278,  0.38913, -0.01732, -0.01281,  0.68398, -0.18554,  0.09843,  0.00616, -0.02116, -0.14996,  0.64771,  0.06306,  0.17628,  0.31860,  0.85665,  0.03673,  0.28357,  0.12875,  0.00421,  0.14709,  0.28571, -0.05969,  0.05629,  0.03841,  0.12765,  0.14118, -0.01053,  0.01238,  0.14273,  0.11903,  0.61801,  0.16137,  0.06486, -0.06634,  0.40008,  0.78557, -0.09658, -0.08207, -0.10883,  0.02322,  0.35469,  0.59831, -0.03657,  0.12988,  0.10836,  0.72633, -0.02847, -0.00088,  0.17471,  0.43066,  0.20476, -0.00094,  0.13514,  0.08118, -0.08393,  0.75752,  0.11233,  0.68380,  0.01554,  0.01756,  0.01066, -0.01223,  0.03619,  0.07155,  0.02701, -0.00219, -0.00156, -0.00202, -0.00439,  0.04336, -0.00952, -0.00141,  0.01993,  0.17943, 
            BalabanJ,  0.21510, -0.07592, -0.14625,  0.25857,  0.29135,  0.28427,  0.01742,  0.38423, -0.10211,  0.15359, -0.01285, -0.00315,  0.21809,  0.42060,  0.33111,  0.32803,  0.44090,  1.00000,  0.29194,  0.38374,  0.06431,  0.71759,  0.47915,  0.45623, -0.16824,  0.08932,  0.31811, -0.02772, -0.02821,  0.40695,  0.33933,  0.34774,  0.23597,  0.35535,  0.06697,  0.41310,  0.97333,  0.53870, -0.16964,  0.17148,  0.26058, -0.06384,  0.08156,  0.19186, -0.02294,  0.48081, -0.03757, -0.02832,  0.22447, -0.03451,  0.36261,  0.35881, -0.12986,  0.46718,  0.34192,  0.17754, -0.06070,  0.56101,  0.49249,  0.46941,  0.23767,  0.51443, -0.07613,  0.34053,  0.36939,  0.42770,  0.09570, -0.00315,  0.03986,  0.10046,  0.31093,  0.35771,  0.00184,  0.07257,  0.39944,  0.43017, -0.01143,  0.27136,  0.31607, -0.04909,  0.00898, -0.00315, -0.00388,  0.38483, -0.10352,  0.15028, -0.00299, -0.05561,  0.26024,  0.01518,  0.28504, -0.00315,  0.05426,  0.11367,  0.03140,  0.48017,  0.43784,  0.51390,  0.63554, -0.00330,  0.34840,  0.40563,  0.30457, -0.06738, -0.03216,  0.11184, -0.05212, -0.07746, -0.08998,  0.25980,  0.01624, -0.00615,  0.33569,  0.05996,  0.51675,  0.38782,  0.21157,  0.38969,  0.28261, -0.07788,  0.03884,  0.18992,  0.03872,  0.30595,  0.13453,  0.25582,  0.22580, -0.05721,  0.48440, -0.08093, -0.03331,  0.10452,  0.01857, -0.11871,  0.34277,  0.02848,  0.23369,  0.34888,  0.52735,  0.31860,  0.31905,  0.08327,  0.00038,  0.35774,  0.42673,  0.39346, -0.13376, -0.01623,  0.31639,  0.34013,  0.02476, -0.05050, -0.07495,  0.32471,  0.47234, -0.06092,  0.73156, -0.01102,  0.46602,  0.40212, -0.01169, -0.01900, -0.02131,  0.21697,  0.60818,  0.47171, -0.01832, -0.05557, -0.01301,  0.37644,  0.45104, -0.00315, -0.03683,  0.20114,  0.54550, -0.00317, -0.13457,  0.64095,  0.15603,  0.49118, -0.04441,  0.39806,  0.37856,  0.52497,  0.45153,  0.56982,  0.51632,  0.63625,  0.57506,  0.28886,  0.00247,  0.36421,  0.31439,  0.57997,  0.50757,  0.01273,  0.45164,  0.58084, 
             BertzCT,  0.25753, -0.06379,  0.09068,  0.38897,  0.12904,  0.13182,  0.00791, -0.00927, -0.02295,  0.26387, -0.02938,  0.75332,  0.22936,  0.54035,  0.37165,  0.58051,  0.36785,  0.29194,  1.00000,  0.42387,  0.02722,  0.31375,  0.29720, -0.01292, -0.11230,  0.20027,  0.50537,  0.73016, -0.06982,  0.24209,  0.29501, -0.07354,  0.67000,  0.43723,  0.03340,  0.35780,  0.26061, -0.01681, -0.09014,  0.05508, -0.04404,  0.28435, -0.08905,  0.73214,  0.71396, -0.03641, -0.01556,  0.74015,  0.10866,  0.00357,  0.28082,  0.58132,  0.05969,  0.18702,  0.43570,  0.27310, -0.04719,  0.52433,  0.19075, -0.01177, -0.07745, -0.01576,  0.71989,  0.34386,  0.50952,  0.24391, -0.02340,  0.75332,  0.07074,  0.01487,  0.00704,  0.22698,  0.76415,  0.77522,  0.35156,  0.23681,  0.60447,  0.01797, -0.05269,  0.71137, -0.02039,  0.75332,  0.13307,  0.43353, -0.01894,  0.88620,  0.75368,  0.00626,  0.01555,  0.77951,  0.15198,  0.75332,  0.00266,  0.80997,  0.01260,  0.20669,  0.40865,  0.45467,  0.26912,  0.75341,  0.24336,  0.16568,  0.12984,  0.01078,  0.11029,  0.85272,  0.36933,  0.02974,  0.19889,  0.04245,  0.01957,  0.75782, -0.02336,  0.17140,  0.05552,  0.26066,  0.10972,  0.52483, -0.02577, -0.02193,  0.03545, -0.04228,  0.00595, -0.02561,  0.08747,  0.23188,  0.18564,  0.02355,  0.36918,  0.12623, -0.01571, -0.03905,  0.06581,  0.45926,  0.48447,  0.79360,  0.90274,  0.00834,  0.39545,  0.00242,  0.10603,  0.06592,  0.75819,  0.09459,  0.06397,  0.35913,  0.08716, -0.03625,  0.18541,  0.13842,  0.17410, -0.05326, -0.04567, -0.05057,  0.32544, -0.04933,  0.21344, -0.06517,  0.76290,  0.32655, -0.03235,  0.10830,  0.00356,  0.16630,  0.44858,  0.73495,  0.75685,  0.07350, -0.01908,  0.38032, -0.01273,  0.75332, -0.02866,  0.08668,  0.21906,  0.75335, -0.01261,  0.00680,  0.27164,  0.47004,  0.08103,  0.57442, -0.02842,  0.02059, -0.01184, -0.00207,  0.14544,  0.06055,  0.03949,  0.37759,  0.75423,  0.57875,  0.46763,  0.35660,  0.01228,  0.75514, -0.02238,  0.09490, 
                Chi0,  0.37024,  0.03241,  0.06347,  0.74015,  0.11689,  0.11416,  0.28155,  0.03857, -0.02415, -0.04995,  0.07971, -0.00779,  0.55679, -0.01914,  0.74502,  0.79737,  0.76650,  0.38374,  0.42387,  1.00000, -0.03035,  0.65642,  0.61476, -0.06769, -0.08006, -0.03315,  0.73624, -0.02251,  0.02018,  0.50330,  0.70943,  0.01935, -0.02622,  0.80169,  0.00086,  0.74705,  0.39219,  0.12964, -0.11493,  0.05798,  0.06852, -0.04780,  0.04338, -0.06315, -0.04083, -0.03642,  0.01392, -0.03494,  0.02454,  0.14393,  0.59407,  0.65137, -0.02356,  0.53274,  0.88133, -0.03299,  0.07371,  0.76074,  0.12442, -0.00138,  0.22518, -0.00838, -0.06654,  0.78246,  0.85822,  0.07615,  0.00699, -0.00778,  0.00482,  0.15144,  0.13332,  0.61381,  0.00433,  0.15467,  0.85121,  0.06098, -0.03229,  0.07195,  0.07917, -0.05854,  0.05152, -0.00778,  0.15756,  0.00133,  0.07705,  0.27975, -0.00732,  0.15959,  0.26698,  0.03895, -0.02075, -0.00778,  0.06929, -0.01363,  0.03830,  0.53571,  0.71012,  0.62942,  0.53807, -0.00805, -0.03625, -0.03429,  0.10561,  0.00225,  0.04819,  0.20829, -0.05035, -0.03671,  0.01283,  0.09821,  0.18728, -0.01166,  0.14779,  0.06215, -0.03490, -0.02986,  0.03496,  0.63048,  0.19672, -0.09145,  0.10705,  0.16298,  0.15076,  0.20941,  0.17521,  0.56642,  0.03649, -0.04634,  0.74651, -0.09598,  0.03864,  0.01547,  0.05427, -0.09350,  0.85038,  0.06691,  0.21414,  0.15451,  0.78773, -0.04063,  0.17026,  0.05602, -0.00030,  0.16306,  0.15021, -0.01164,  0.01604,  0.08493,  0.12146,  0.09193, -0.08000, -0.02726,  0.08780,  0.07314,  0.75234,  0.08369,  0.00302, -0.00935,  0.52923,  0.70430, -0.06646, -0.08513, -0.09985,  0.02486,  0.47942,  0.70138, -0.02117, -0.03608,  0.04461,  0.80795, -0.02998, -0.00778,  0.08074,  0.14433,  0.12106, -0.00781,  0.06369,  0.02415, -0.05230,  0.88539,  0.17996,  0.87365, -0.00012, -0.00085,  0.00176, -0.01318, -0.03871, -0.02722, -0.02171, -0.06307, -0.00881, -0.05477, -0.05562, -0.04139, -0.01220, -0.00994, -0.01910,  0.15417, 
